127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 304, 0.000975
127.0.0.1, 2015-06-07 21:20:42, GET, /lpfx_tiss/static/images/gplus-32.png, HTTP/1.1, 304, 0.000446
127.0.0.1, 2015-06-07 21:22:10, GET, /lpfx_tiss/default/guia, HTTP/1.1, 500, 0.043111
127.0.0.1, 2015-06-07 21:22:11, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-22-09.ea97e0c3-26bd-46c5-a179-8f991db57cae, HTTP/1.1, 303, 0.003756
127.0.0.1, 2015-06-07 21:22:11, GET, /admin/default/index, HTTP/1.1, 200, 0.041022
127.0.0.1, 2015-06-07 21:22:14, POST, /admin/default/index, HTTP/1.1, 303, 0.032363
127.0.0.1, 2015-06-07 21:22:14, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-22-09.ea97e0c3-26bd-46c5-a179-8f991db57cae, HTTP/1.1, 200, 0.042691
127.0.0.1, 2015-06-07 21:22:26, GET, /lpfx_tiss/default/guia, HTTP/1.1, 200, 0.108221
127.0.0.1, 2015-06-07 21:22:26, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000295
127.0.0.1, 2015-06-07 21:22:29, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 200, 0.051716
127.0.0.1, 2015-06-07 21:22:29, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000317
127.0.0.1, 2015-06-07 21:27:49, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 200, 0.036853
127.0.0.1, 2015-06-07 21:27:49, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000294
127.0.0.1, 2015-06-07 21:29:50, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 500, 0.038177
127.0.0.1, 2015-06-07 21:29:52, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-29-50.29f59636-84b0-4800-9c2f-8f60d82a8e01, HTTP/1.1, 200, 0.062482
127.0.0.1, 2015-06-07 21:30:06, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 500, 0.028116
127.0.0.1, 2015-06-07 21:30:07, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-30-06.2d4e2999-a976-4c8f-b839-76d03396c992, HTTP/1.1, 200, 0.063152
127.0.0.1, 2015-06-07 21:30:38, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 500, 0.046030
127.0.0.1, 2015-06-07 21:30:40, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-30-38.baddfac5-4138-4e08-a00d-318ff91ae3de, HTTP/1.1, 200, 0.059886
127.0.0.1, 2015-06-07 21:30:49, GET, /, HTTP/1.1, 303, 0.000880
127.0.0.1, 2015-06-07 21:30:49, GET, /welcome/default/index, HTTP/1.1, 404, 0.000439
127.0.0.1, 2015-06-07 21:30:55, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 500, 0.104258
127.0.0.1, 2015-06-07 21:30:58, GET, /admin/default/ticket/lpfx_tiss/127.0.0.1.2015-06-07.21-30-55.b034ccd7-2d61-479c-8245-fa23d000e874, HTTP/1.1, 200, 0.167490
127.0.0.1, 2015-06-07 21:31:25, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 500, 0.075022
127.0.0.1, 2015-06-07 21:31:37, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 200, 0.044327
127.0.0.1, 2015-06-07 21:31:37, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2015-06-07 21:33:38, GET, /lpfx_tiss/default/guia/new/guiaConsulta, HTTP/1.1, 200, 0.089408
127.0.0.1, 2015-06-07 21:33:38, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000295
127.0.0.1, 2015-06-07 21:35:30, GET, /lpfx_tiss/default/guia/new/prestador, HTTP/1.1, 200, 0.042895
127.0.0.1, 2015-06-07 21:35:30, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000310
127.0.0.1, 2015-06-07 21:38:04, POST, /lpfx_tiss/default/guia/new/prestador, HTTP/1.1, 303, 0.475643
127.0.0.1, 2015-06-07 21:38:04, GET, /lpfx_tiss/default/guia, HTTP/1.1, 200, 0.083886
127.0.0.1, 2015-06-07 21:38:04, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 304, 0.000297
127.0.0.1, 2015-06-07 21:38:15, GET, /lpfx_tiss/default/prestador, HTTP/1.1, 200, 0.138649
